"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\constants.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 5, 41
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\contacts.ts", "TypeScript", 0, 0, 169, 0, 0, 0, 0, 0, 0, 29, 23, 221
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\notes.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 9, 9, 79
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\pushNotifications.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 10, 7, 49
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\recipes.ts", "TypeScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 39, 41, 284
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\shopping.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 33, 33, 198
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\supabaseClient.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\todos.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 4, 17, 100
"c:\Users\Marian\Desktop\dev\familyplanner\src\lib\types.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 18, 160
"c:\Users\Marian\Desktop\dev\familyplanner\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Marian\Desktop\dev\familyplanner\supabase\functions\daily-calendar-notifications\deno.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Marian\Desktop\dev\familyplanner\supabase\functions\daily-calendar-notifications\index.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 9, 23, 145
"c:\Users\Marian\Desktop\dev\familyplanner\supabase\functions\deno.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Marian\Desktop\dev\familyplanner\tailwind.config.cjs", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\Marian\Desktop\dev\familyplanner\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\Marian\Desktop\dev\familyplanner\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Marian\Desktop\dev\familyplanner\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Marian\Desktop\dev\familyplanner\vite.config.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"Total", "-", 8647, 7, 1502, 97, 4, 5424, 60, 2, 28, 379, 803, 16953
